year,month,date,ndvi,precipitation_mm,temp_mean_c,temp_max_c,temp_min_c,precip_3month,precip_6month,ndvi_3month_avg,precip_3month_avg,precip_lag1,ndvi_lag1,vci,precip_anomaly,drought_label,drought_category,season
2015.0,7.0,2015-07,0.5732595331906163,200.78779493289602,27.392966706449844,28.409046186576926,25.928734114676868,534.5212968209524,577.2733611366571,0.5263340389307857,178.17376560698415,225.9143830595218,0.4955526189842451,68.94206552885417,0.0,0,No Drought,Rainy Season
2015.0,8.0,2015-08,0.5313673776294279,177.20541068603387,27.06714724693461,28.285071046401036,25.59793116835935,603.9075886784517,750.2913395141258,0.5333931766014297,201.3025295594839,200.78779493289602,0.5732595331906163,43.0855822063763,0.0,2,Moderate Drought,Rainy Season
2015.0,9.0,2015-09,0.47327412490946447,310.90118882866665,26.784213749793807,28.380024499146327,24.85105424357358,688.8943944475966,1057.3861229465938,0.5259670119098362,229.63146481586554,177.20541068603387,0.5313673776294279,7.229532309200428,0.0,4,Extreme Drought,Rainy Season
2015.0,10.0,2015-10,0.46156098169681514,223.35463447988096,26.86109451188291,28.063667552426516,25.94139707350123,711.4612339945816,1245.9825308155341,0.4887341614119025,237.1537446648605,310.90118882866665,0.47327412490946447,0.0,0.0,4,Extreme Drought,Rainy Season
2015.0,11.0,2015-11,0.5140903017812793,148.92659423535295,26.78632985617246,27.766679211010075,25.374415371664195,683.1824175439006,1287.0900062223523,0.4829751361291863,227.72747251463352,223.35463447988096,0.46156098169681514,32.421905020409014,0.0,2,Moderate Drought,Rainy Season
2015.0,12.0,2015-12,0.6235789755543566,77.77208800568809,26.65084254302776,27.62672408448653,24.75340307078525,450.053316720922,1138.9477111685187,0.533076753010817,150.01777224030732,148.92659423535295,0.5140903017812793,100.0,0.0,0,No Drought,Dry Season
2016.0,1.0,2016-01,0.6269492017267129,5.436965852711552,27.330959458097613,28.207858058328792,26.00894871965179,232.1356480937526,943.596882088334,0.5882061596874496,77.3785493645842,77.77208800568809,0.6235789755543566,100.0,-44.3598512139261,0,No Drought,Dry Season
2016.0,2.0,2016-02,0.5609590112247159,5.103813714802321,27.278222357683383,28.535315824088475,24.017690512712495,88.31286757320197,771.4952851171025,0.6038290628352617,29.437622524400656,5.436965852711552,0.6269492017267129,74.18885521891465,9.86284728584675,1,Light Drought,Dry Season
2016.0,3.0,2016-03,0.4648264778064529,4.4432677329620525,28.334732617745622,29.275775456387766,27.32684388079064,14.984047300475925,465.03736402139793,0.5509115635859606,4.994682433491975,5.103813714802321,0.5609590112247159,36.587952427821406,7.719849341816768,4,Extreme Drought,Dry Season
2016.0,4.0,2016-04,0.46572459609063604,8.430314098217401,30.13639613515254,31.380930852759658,28.548047588264094,17.977395545981775,250.11304363973437,0.49717002837393504,5.992465181993925,4.4432677329620525,0.4648264778064529,36.93923889763224,-60.960412369618474,4,Extreme Drought,Dry Season
2016.0,5.0,2016-05,0.449115301962972,203.4254239665693,29.20573497980917,31.511545535486633,26.73309911406905,216.29900579774875,304.6118733709507,0.4598887919533537,72.09966859924958,8.430314098217401,0.46572459609063604,30.4427446129583,30.717423759289314,2,Moderate Drought,Rainy Season
2016.0,6.0,2016-06,0.5333104217161687,234.26796044798294,27.411092184684517,29.237816240171938,25.159158717946454,446.1236985127697,461.10774581324563,0.48271677325659224,148.70789950425657,203.4254239665693,0.449115301962972,63.37449415450291,1.8152755111789511,0,No Drought,Rainy Season
2016.0,7.0,2016-07,0.552951095037586,270.88536055808225,27.103931274543868,28.600411752404064,25.884126041750996,708.5787449726345,726.5561405186162,0.5117922729055756,236.19291499087817,234.26796044798294,0.5333104217161687,71.05667023007828,14.86147023826693,0,No Drought,Rainy Season
2016.0,8.0,2016-08,0.4698251325586811,194.93158176976314,27.275872615227392,28.49342423050999,25.388144551882057,700.0849027758284,916.3839085735771,0.518695549770812,233.36163425860946,270.88536055808225,0.552951095037586,38.543106679369096,4.763345607420321,2,Moderate Drought,Rainy Season
2016.0,9.0,2016-09,0.3712837089262727,300.3765161197715,26.72519649761535,28.39591772305683,25.473326043777814,766.1934584476169,1212.3171569603865,0.4646866455075133,255.39781948253895,194.93158176976314,0.4698251325586811,0.0,-1.7217498076071596,4,Extreme Drought,Rainy Season
